Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.6817354280770405,0.015403786700464295,0.8119006228018664,0.4700874110228176,21.84700179848386,0.6237353596266578
2,1.0031670897021265,0.009870806571073875,0.6322512028174486,0.6344663848134572,22.556580141699662,0.6445167881600997
3,1.0019124506190866,0.00934632298966011,0.5169735377562974,0.5172477155531238,22.089924505511632,0.6543764036543229
4,1.0017772025548055,0.008660781490588616,0.649619056507499,0.6514938232998648,22.609940458561116,0.6658052113476921
5,1.000973077876839,0.00846988629415899,0.6404102158831979,0.6409982122204261,22.5426823020431,0.6690413840378032
6,1.0004647962918538,0.00823689280334347,0.7205121923206809,0.7205900838703453,23.245096231499048,0.6754234810436474
7,0.9994906361802609,0.00807995609024506,0.6926739086362416,0.6917029512999301,22.894921318438417,0.6770422335933236
8,1.0000122771577207,0.007586889112267844,0.9945323124046097,0.9952734020941272,23.284979987114475,0.6802883135571199
9,1.0,0.007396303976099648,1.0,1.0,23.144254434586603,0.6806438707604128
10,1.0,0.007516339821685217,1.0,1.0,22.965129478111443,0.6769704289296095
11,1.0,0.0073702174670503525,1.0,1.0,23.390887413292777,0.686504381684696
12,1.0,0.007315287795029358,1.0,1.0,23.315927343911213,0.6838108965929817
13,1.0,0.0072159152607361,1.0,1.0,23.453560786579004,0.6882091410019818
14,1.0,0.007178228950116806,1.0,1.0,23.25513389698157,0.6859965783007005
15,1.0,0.007129157416656345,1.0,1.0,23.182133361627617,0.6786199767449322
16,1.0,0.006932463197784866,1.0,1.0,23.45865810040454,0.6925489798714133
17,1.0,0.006906209917304044,1.0,1.0,23.572385032796465,0.6914417371329139
18,1.0,0.007046987232333886,1.0,1.0,23.486914231487717,0.6892569231986999
19,1.0,0.006910664335919354,1.0,1.0,23.129328332454936,0.6942316537043628
20,1.0,0.006886134054623321,1.0,1.0,23.570397712374906,0.6924434888362885
21,1.0,0.006750830280075887,1.0,1.0,23.38290457292277,0.6800376047807581
22,1.0,0.006840641747624753,1.0,1.0,23.558324105820745,0.6948686324147617
23,1.0,0.006752381294653444,1.0,1.0,23.523594031289072,0.6927945388765896
24,1.0,0.012008523251526727,1.0,1.0,22.56156063667091,0.6473247832410476
25,1.0,0.008252029265695347,1.0,1.0,22.790478361620433,0.6659420704841614
26,1.0,0.007719583111497278,1.0,1.0,23.131297965608155,0.6758152400746065
27,1.0,0.007331986854934764,1.0,1.0,23.374762316809022,0.6827514989235822
28,1.0,0.007270165803189763,1.0,1.0,23.36335822350103,0.6808136910550735
29,1.0,0.007086268505137302,1.0,1.0,23.447986276893914,0.6851260884369121
30,1.0,0.006959134547965613,1.0,1.0,23.49748768350407,0.6847827385453616
31,1.0,0.006919717707498345,1.0,1.0,23.438396182400318,0.6901441170187558
32,1.0,0.0068729968355622836,1.0,1.0,23.57572633951442,0.6922512238867142
33,1.0,0.0067816631752484575,1.0,1.0,23.58363953271074,0.6921985241946053
34,1.0,0.006754898323069611,1.0,1.0,23.6290983158461,0.6954296714418075
35,1.0,0.006714326417530904,1.0,1.0,23.651155814753764,0.6987050216338214
36,1.0,0.006714849114685715,1.0,1.0,23.579703047881495,0.6962174995506512
37,1.0,0.006734535379368745,1.0,1.0,23.639180248197622,0.6963710232341991
38,1.0,0.007550949580565898,1.0,1.0,21.135439800217704,0.5968300072936451
39,1.0,0.007694517625886166,1.0,1.0,23.155133996380822,0.6849923767061794
40,1.0,0.00702011599880225,1.0,1.0,23.33986217587631,0.690311949112836
41,1.0,0.00672504735675579,1.0,1.0,23.61788193399443,0.6926533574917737
42,1.0,0.006675930983626736,1.0,1.0,23.6647562646643,0.6987908631212572
43,1.0,0.006670701557402304,1.0,1.0,23.657237152961734,0.695625556567136
44,1.0,0.006653363832835844,1.0,1.0,23.668290120415712,0.6956533672529108
45,1.0,0.006604313534756977,1.0,1.0,23.673773651882144,0.6941632448224461
46,1.0,0.006605808427724653,1.0,1.0,23.670391123432847,0.6983629449676065
47,1.0,0.006563711564675598,1.0,1.0,23.702781597986448,0.7011487216107986
48,1.0,0.006533483149048811,1.0,1.0,23.688906539403188,0.6995425687116735
49,1.0,0.006516122774271194,1.0,1.0,23.68518236509896,0.7011720672074486
50,1.0,0.006496619425357102,1.0,1.0,23.7249760175054,0.7000405709883746
51,1.0,0.006515577802557253,1.0,1.0,23.72324881068836,0.6979242613035089
52,1.0,0.006497716632654924,1.0,1.0,23.672391825069216,0.6967950077617869
53,1.0,0.00654482096244029,1.0,1.0,23.74392673562763,0.7011432717126959
54,1.0,0.006370147812420022,1.0,1.0,23.711201968010734,0.702955545537612
55,1.0,0.008847014824385772,1.0,1.0,22.933659608436198,0.6598276883714339
56,1.0,0.007830679537784197,1.0,1.0,23.204434712526787,0.669065961487153
57,1.0,0.0072229497407947825,1.0,1.0,23.398698961949208,0.6866243220778072
58,1.0,0.006889200020737634,1.0,1.0,23.494671876903148,0.689368288376752
59,1.0,0.006731510992847874,1.0,1.0,23.634819774644313,0.6949935923604404
60,1.0,0.0066252308496145785,1.0,1.0,23.699350349018697,0.6980223670426537
61,1.0,0.006553289699005688,1.0,1.0,23.680621396589522,0.6976488947868347
62,1.0,0.006458669043408183,1.0,1.0,23.73327271527836,0.7022337700338924
63,1.0,0.006555160322522153,1.0,1.0,23.71100290120936,0.7028018758577459
64,1.0,0.006441444986483116,1.0,1.0,23.770436733937718,0.7060858989463134
65,1.0,0.006457570394177637,1.0,1.0,23.706787366721414,0.6997002934007084
66,1.0,0.006397360688086577,1.0,1.0,23.754820154137924,0.7027205056302688
67,1.0,0.00640382118545428,1.0,1.0,23.784361073899905,0.7037082817273982
68,1.0,0.006412313600254809,1.0,1.0,23.754432411109484,0.7022139654440038
69,1.0,0.006349982546452812,1.0,1.0,23.771206830452005,0.7040352887967054
70,1.0,0.0063617117253472345,1.0,1.0,23.744239027216324,0.7034536281052758
71,1.0,0.006480806618036624,1.0,1.0,23.78144233637685,0.704136613887899
72,1.0,0.006351857605072374,1.0,1.0,23.795358316282943,0.7039094702636495
73,1.0,0.006369228587223741,1.0,1.0,23.613141838967255,0.7017121629855212
74,1.0,0.006427123561323046,1.0,1.0,23.774838265535095,0.7054784440994263
75,1.0,0.006426957638454652,1.0,1.0,23.817882061903433,0.705654870411929
76,1.0,0.006379477939272891,1.0,1.0,23.754183109510812,0.7038483743106617
77,1.0,0.006317185076277056,1.0,1.0,23.832821558052103,0.7047035870832555
78,1.0,0.0063829428709284985,1.0,1.0,23.803165675724244,0.7049506714764764
79,1.0,0.006316771598833942,1.0,1.0,23.761702760808376,0.702304193833295
80,1.0,0.006322643696079533,1.0,1.0,23.817832265584574,0.7050964747456944
81,1.0,0.00633468075493674,1.0,1.0,23.85026354507785,0.707216423960293
82,1.0,0.006337040376341986,1.0,1.0,23.74602112201442,0.7028546324196984
83,1.0,0.00645678594931514,1.0,1.0,23.56101110191645,0.6965876363305484
84,1.0,0.006341562565683783,1.0,1.0,23.799281571620586,0.7045071273691514
85,1.0,0.006268144276015416,1.0,1.0,23.787546592757863,0.7036037155459909
86,1.0,0.006240366381554011,1.0,1.0,23.825012169871496,0.7065496559704051
87,1.0,0.006340645224659029,1.0,1.0,23.826675222047832,0.7090964034725638
88,1.0,0.006306379385247916,1.0,1.0,23.787763790308905,0.7039128642222461
89,1.0,0.0062634478374467995,1.0,1.0,23.820366750806304,0.705075149045271
90,1.0,0.006217408706908098,1.0,1.0,23.839884773681902,0.7058268969199236
91,1.0,0.006206889595546408,1.0,1.0,23.828585188684507,0.7082837531145881
92,1.0,0.006243027620195986,1.0,1.0,23.837701260761435,0.7068224327003254
93,1.0,0.006259244160983199,1.0,1.0,23.847295324788238,0.7072221452348373
94,1.0,0.006231525930615064,1.0,1.0,23.749514367416605,0.7058430306350484
95,1.0,0.006221939628709576,1.0,1.0,23.87069666127042,0.7085938077113207
96,1.0,0.008095141028327322,1.0,1.0,22.958338351293627,0.6630858632396249
97,1.0,0.007508756886654628,1.0,1.0,23.436582069545913,0.6857675875635708
98,1.0,0.006982836907138368,1.0,1.0,23.59984574392068,0.6945816891333636
99,1.0,0.006739637010736379,1.0,1.0,23.619456017061275,0.6960550806101631
100,1.0,0.006637038609827172,1.0,1.0,23.67877731622041,0.6968108003980973
